player_a,player_b,games,wins,losses,actual_win_pct,expected_win_pct,synergy,point_diff,avg_point_diff
FZ,SY,15,14,1,0.9333333333333333,0.5462405905820749,0.3870927427512585,78,5.2
CH,FZ,22,18,4,0.8181818181818182,0.5394800051609817,0.2787018130208365,101,4.590909090909091
FZ,NS,11,8,3,0.7272727272727273,0.5182374627367003,0.20903526453602694,48,4.363636363636363
AC,FZ,14,9,5,0.6428571428571429,0.49317998242099587,0.14967716043614704,8,0.5714285714285714
CH,SY,23,14,9,0.6086956521739131,0.5093289629025276,0.09936668927138548,33,1.434782608695652
CH,NS,20,12,8,0.6,0.5139268273630639,0.08607317263693604,20,1.0
SY,TD,6,3,3,0.5,0.4718127168534252,0.028187283146574815,-2,-0.3333333333333333
CH,TT,14,7,7,0.5,0.48665468568560427,0.013345314314395729,1,0.07142857142857142
CH,TD,8,4,4,0.5,0.4936307198770684,0.0063692801229315865,3,0.375
RS,SY,4,2,2,0.5,0.5051342607113981,-0.005134260711398109,-2,-0.5
SY,TT,15,7,8,0.4666666666666667,0.4899815500336019,-0.023314883366935213,0,0.0
NS,SY,12,5,7,0.4166666666666667,0.4966495506581829,-0.07998288399151621,-12,-1.0
NS,TT,5,2,3,0.4,0.48755638035329196,-0.08755638035329194,-3,-0.6
FZ,TD,7,3,4,0.42857142857142855,0.5197549016702011,-0.09118347309877256,0,0.0
AC,SY,18,7,11,0.3888888888888889,0.48132295209722437,-0.09243406320833547,-23,-1.2777777777777777
FZ,TT,10,4,6,0.4,0.5098429703799077,-0.10984297037990765,3,0.3
AC,NS,7,2,5,0.2857142857142857,0.4723249050562825,-0.1866106193419968,-37,-5.285714285714286
AC,CH,11,3,8,0.2727272727272727,0.4670075496916382,-0.1942802769643655,-45,-4.090909090909091
TD,TT,5,1,4,0.2,0.47382179626150106,-0.27382179626150105,-26,-5.2
NS,TD,6,1,5,0.16666666666666666,0.48586964153114537,-0.3192029748644787,-24,-4.0
AC,TT,7,0,7,0.0,0.43615053463886116,-0.43615053463886116,-29,-4.142857142857143
AC,TD,3,0,3,0.0,0.45295696643643363,-0.45295696643643363,-31,-10.333333333333334
FZ,RS,1,0,1,0.0,0.4823073428062525,-0.4823073428062525,-7,-7.0
RS,TT,4,0,4,0.0,0.4906329971253234,-0.4906329971253234,-27,-6.75
RS,TD,1,0,1,0.0,0.4955440396533017,-0.4955440396533017,-8,-8.0
CH,RS,3,0,3,0.0,0.4993842161604381,-0.4993842161604381,-19,-6.333333333333333
