p1,p2,p3,p4,players,team1,team2,ordered_key,unique_key,played_ordered,played_unique,elo_pred_team1_win_prob,trueskill_pred_team1_win_prob,tree_pred_team1_win_prob,sort_prob,closeness
TD,CH,SY,RS,"['TD', 'CH', 'SY', 'RS']",TD + CH,SY + RS,TD|CH|SY|RS,"CH,TD||RS,SY",False,True,0.5009386412738491,0.8484235255381991,0.5003223186571987,0.5003223186571987,0.0003223186571986725
CH,TD,SY,RS,"['CH', 'TD', 'SY', 'RS']",CH + TD,SY + RS,CH|TD|SY|RS,"CH,TD||RS,SY",True,True,0.5009386412738491,0.8484235255381991,0.5007727946774619,0.5007727946774619,0.000772794677461941
RS,SY,FZ,TT,"['RS', 'SY', 'FZ', 'TT']",RS + SY,FZ + TT,RS|SY|FZ|TT,"FZ,TT||RS,SY",False,False,0.47613021584477927,0.07346114115919596,0.5033202350922616,0.5033202350922616,0.0033202350922616475
RS,CH,FZ,SY,"['RS', 'CH', 'FZ', 'SY']",RS + CH,FZ + SY,RS|CH|FZ|SY,"CH,RS||FZ,SY",False,False,0.4336647608004687,0.011417443765077492,0.496598266809797,0.496598266809797,0.0034017331902029824
RS,SY,TT,FZ,"['RS', 'SY', 'TT', 'FZ']",RS + SY,TT + FZ,RS|SY|TT|FZ,"FZ,TT||RS,SY",False,False,0.47613021584477927,0.07346114115919596,0.4951941736227145,0.4951941736227145,0.004805826377285494
NS,AC,FZ,TD,"['NS', 'AC', 'FZ', 'TD']",NS + AC,FZ + TD,NS|AC|FZ|TD,"AC,NS||FZ,TD",False,False,0.43358295792576346,0.29691516005810303,0.49514375042140973,0.49514375042140973,0.004856249578590266
CH,NS,FZ,AC,"['CH', 'NS', 'FZ', 'AC']",CH + NS,FZ + AC,CH|NS|FZ|AC,"AC,FZ||CH,NS",False,True,0.4987793866278612,0.45648617945661896,0.4944974050840358,0.4944974050840358,0.005502594915964221
SY,TT,AC,NS,"['SY', 'TT', 'AC', 'NS']",SY + TT,AC + NS,SY|TT|AC|NS,"AC,NS||SY,TT",False,True,0.5249847258522501,0.5721715303483434,0.5059597244667208,0.5059597244667208,0.005959724466720773
SY,TT,NS,AC,"['SY', 'TT', 'NS', 'AC']",SY + TT,NS + AC,SY|TT|NS|AC,"AC,NS||SY,TT",False,True,0.5249847258522501,0.5721715303483434,0.5059597244667208,0.5059597244667208,0.005959724466720773
TT,SY,AC,NS,"['TT', 'SY', 'AC', 'NS']",TT + SY,AC + NS,TT|SY|AC|NS,"AC,NS||SY,TT",False,True,0.5249847258522501,0.5721715303483434,0.5059597244667208,0.5059597244667208,0.005959724466720773
TT,SY,NS,AC,"['TT', 'SY', 'NS', 'AC']",TT + SY,NS + AC,TT|SY|NS|AC,"AC,NS||SY,TT",False,True,0.5249847258522501,0.5721715303483434,0.5059597244667208,0.5059597244667208,0.005959724466720773
SY,RS,NS,TD,"['SY', 'RS', 'NS', 'TD']",SY + RS,NS + TD,SY|RS|NS|TD,"NS,TD||RS,SY",False,False,0.52686807850055,0.23092292087992516,0.4935011847774117,0.4935011847774117,0.006498815222588272
SY,RS,TD,NS,"['SY', 'RS', 'TD', 'NS']",SY + RS,TD + NS,SY|RS|TD|NS,"NS,TD||RS,SY",False,False,0.52686807850055,0.23092292087992516,0.4935011847774117,0.4935011847774117,0.006498815222588272
TT,SY,NS,FZ,"['TT', 'SY', 'NS', 'FZ']",TT + SY,NS + FZ,TT|SY|NS|FZ,"FZ,NS||SY,TT",False,True,0.4393596752682373,0.19025671342771133,0.4934712648509208,0.4934712648509208,0.006528735149079201
RS,SY,CH,TT,"['RS', 'SY', 'CH', 'TT']",RS + SY,CH + TT,RS|SY|CH|TT,"CH,TT||RS,SY",True,True,0.5057787186201843,0.14354757042203703,0.5082344562242299,0.5082344562242299,0.008234456224229914
FZ,TD,CH,TT,"['FZ', 'TD', 'CH', 'TT']",FZ + TD,CH + TT,FZ|TD|CH|TT,"CH,TT||FZ,TD",False,False,0.5363204497840712,0.6515486563135522,0.5092963903757868,0.5092963903757868,0.009296390375786778
SY,RS,AC,FZ,"['SY', 'RS', 'AC', 'FZ']",SY + RS,AC + FZ,SY|RS|AC|FZ,"AC,FZ||RS,SY",False,False,0.47871962793778705,0.053148279240294284,0.5094035686246585,0.5094035686246585,0.00940356862465852
TD,NS,AC,FZ,"['TD', 'NS', 'AC', 'FZ']",TD + NS,AC + FZ,TD|NS|AC|FZ,"AC,FZ||NS,TD",False,False,0.45196141612029217,0.17509292850347702,0.5102870145111605,0.5102870145111605,0.010287014511160542
CH,RS,TD,FZ,"['CH', 'RS', 'TD', 'FZ']",CH + RS,TD + FZ,CH|RS|TD|FZ,"CH,RS||FZ,TD",False,False,0.47483749574498574,0.07396741405344182,0.48965981765791733,0.48965981765791733,0.010340182342082671
SY,RS,TD,FZ,"['SY', 'RS', 'TD', 'FZ']",SY + RS,TD + FZ,SY|RS|TD|FZ,"FZ,TD||RS,SY",False,False,0.469432606205695,0.0788225661390688,0.48965981765791733,0.48965981765791733,0.010340182342082671
RS,CH,SY,FZ,"['RS', 'CH', 'SY', 'FZ']",RS + CH,SY + FZ,RS|CH|SY|FZ,"CH,RS||FZ,SY",False,False,0.4336647608004687,0.011417443765077492,0.5109410105243128,0.5109410105243128,0.010941010524312844
RS,SY,TT,CH,"['RS', 'SY', 'TT', 'CH']",RS + SY,TT + CH,RS|SY|TT|CH,"CH,TT||RS,SY",True,True,0.5057787186201843,0.14354757042203703,0.5111528529059226,0.5111528529059226,0.011152852905922606
NS,TD,CH,AC,"['NS', 'TD', 'CH', 'AC']",NS + TD,CH + AC,NS|TD|CH|AC,"AC,CH||NS,TD",False,False,0.48148816403419087,0.3026444823459339,0.5130202851235686,0.5130202851235686,0.013020285123568565
SY,RS,TT,CH,"['SY', 'RS', 'TT', 'CH']",SY + RS,TT + CH,SY|RS|TT|CH,"CH,TT||RS,SY",False,True,0.5057787186201843,0.14354757042203703,0.484538060027213,0.484538060027213,0.015461939972786998
CH,RS,SY,FZ,"['CH', 'RS', 'SY', 'FZ']",CH + RS,SY + FZ,CH|RS|SY|FZ,"CH,RS||FZ,SY",False,False,0.4336647608004687,0.011417443765077492,0.48441930731318966,0.48441930731318966,0.015580692686810338
RS,CH,TD,FZ,"['RS', 'CH', 'TD', 'FZ']",RS + CH,TD + FZ,RS|CH|TD|FZ,"CH,RS||FZ,TD",False,False,0.47483749574498574,0.07396741405344182,0.5162741672392327,0.5162741672392327,0.016274167239232695
RS,SY,TD,FZ,"['RS', 'SY', 'TD', 'FZ']",RS + SY,TD + FZ,RS|SY|TD|FZ,"FZ,TD||RS,SY",False,False,0.469432606205695,0.0788225661390688,0.5162741672392327,0.5162741672392327,0.016274167239232695
AC,SY,FZ,RS,"['AC', 'SY', 'FZ', 'RS']",AC + SY,FZ + RS,AC|SY|FZ|RS,"AC,SY||FZ,RS",False,False,0.45127099628146883,0.816562453957105,0.5170672206560427,0.5170672206560427,0.017067220656042714
TT,FZ,RS,SY,"['TT', 'FZ', 'RS', 'SY']",TT + FZ,RS + SY,TT|FZ|RS|SY,"FZ,TT||RS,SY",False,False,0.5238697841552207,0.926538858840804,0.48270079068851723,0.48270079068851723,0.017299209311482766
TT,FZ,SY,RS,"['TT', 'FZ', 'SY', 'RS']",TT + FZ,SY + RS,TT|FZ|SY|RS,"FZ,TT||RS,SY",False,False,0.5238697841552207,0.926538858840804,0.48270079068851723,0.48270079068851723,0.017299209311482766
TD,NS,SY,CH,"['TD', 'NS', 'SY', 'CH']",TD + NS,SY + CH,TD|NS|SY|CH,"CH,SY||NS,TD",False,True,0.431064388241462,0.11762897273809447,0.482206055456005,0.482206055456005,0.01779394454399502
TD,NS,FZ,AC,"['TD', 'NS', 'FZ', 'AC']",TD + NS,FZ + AC,TD|NS|FZ|AC,"AC,FZ||NS,TD",False,False,0.45196141612029217,0.17509292850347702,0.4813815112277406,0.4813815112277406,0.01861848877225941
SY,RS,CH,TT,"['SY', 'RS', 'CH', 'TT']",SY + RS,CH + TT,SY|RS|CH|TT,"CH,TT||RS,SY",False,True,0.5057787186201843,0.14354757042203703,0.4812263751469551,0.4812263751469551,0.0187736248530449
NS,AC,FZ,CH,"['NS', 'AC', 'FZ', 'CH']",NS + AC,FZ + CH,NS|AC|FZ|CH,"AC,NS||CH,FZ",False,True,0.3881455804998859,0.08291325075961947,0.5190821353896876,0.5190821353896876,0.019082135389687616
TT,FZ,CH,TD,"['TT', 'FZ', 'CH', 'TD']",TT + FZ,CH + TD,TT|FZ|CH|TD,"CH,TD||FZ,TT",False,False,0.5229331981696913,0.6731545942432633,0.48019245674416833,0.48019245674416833,0.019807543255831672
CH,NS,TD,FZ,"['CH', 'NS', 'TD', 'FZ']",CH + NS,TD + FZ,CH|NS|TD|FZ,"CH,NS||FZ,TD",False,True,0.4894686163403104,0.5373309275194997,0.47998163153475304,0.47998163153475304,0.02001836846524696
RS,SY,NS,TD,"['RS', 'SY', 'NS', 'TD']",RS + SY,NS + TD,RS|SY|NS|TD,"NS,TD||RS,SY",False,False,0.52686807850055,0.23092292087992516,0.5201115367323182,0.5201115367323182,0.020111536732318247
