feature,importance
team1_avg_point_diff_pre,0.14390965069068057
ts_confidence_gap_favorite_pre,0.10857988805000406
team1_win_rate_pre,0.07578022188657906
team1_pair_win_rate_pre,0.04658826088057272
team1_ts_momentum_pre,0.046432195550162536
team1_opponent_win_rate_pre,0.0453028504058138
team2_recent_point_diff_pre,0.03369509290013477
team1_elo_volatility_pre,0.03339054642565063
team2_recent_elo_trend_pre,0.03050458929173756
team2_opponent_win_rate_pre,0.030379861464568173
rating_disagreement_pre,0.0288752480033056
ts_sigma_diff_pre,0.027941420256647993
team1_max_elo_pre,0.02573825116908316
team2_max_elo_pre,0.024016904348637163
team1_specialization_pre,0.023460420822482567
specialization_gap_pre,0.022155352514707165
ts_mu_diff_pre,0.020891575873415304
team1_peak_elo_pre,0.01665880817648679
team2_ts_sigma_pre,0.016471857244101305
team2_corner_strength_pre,0.013527670690159005
elo_confidence_gap_pre,0.01275725068546593
elo_abs_diff_pre,0.012185902604765406
team1_ts_sigma_pre,0.011686550959123656
team1_ts_mu_pre,0.010670324646184878
team2_specialization_pre,0.010609919532297818
team2_ts_balance_pre,0.010489071857147703
team2_pair_point_diff_pre,0.008922816750648323
team1_ts_balance_pre,0.008661568429533403
team2_ts_momentum_pre,0.008093634796423966
team1_peak_gap_pre,0.007958816326144862
p1_corner_win_rate_pre,0.005753385326777769
team1_corner_strength_pre,0.005542890429421174
elo_diff_pre,0.005419681780579435
elo_expected_prob_pre,0.005379743416300274
team1_recent_elo_trend_pre,0.005305132005300317
team2_recent_win_rate_pre,0.005064179561808953
p4_corner_win_rate_pre,0.004532790794437116
team2_peak_gap_pre,0.003911003095294068
team1_opponent_experience_pre,0.0036818319572994415
team2_elo_volatility_pre,0.0036598422704655896
team2_elo_pre,0.003632314117207187
team2_balance_pre,0.003342856671577712
team2_ts_mu_pre,0.003116592021085855
team1_pair_point_diff_pre,0.0027790075120632863
p2_corner_win_rate_pre,0.0025719293618462536
team1_recent_point_diff_pre,0.0024111046326479174
ts_cons_diff_pre,0.0021194981962425626
team2_win_rate_pre,0.0021131807876437043
team2_opponent_experience_pre,0.002058779708017625
team1_balance_pre,0.0019886053978414096
team2_ts_conservative_pre,0.001727402001751477
team2_elo_std_pre,0.0011780132223648213
team2_avg_point_diff_pre,0.0011385094898066531
corner_strength_diff_pre,0.0010551434175843618
team1_elo_pre,0.0009938121080359061
p3_corner_win_rate_pre,0.00072074806379466
team2_pair_games_pre,0.0006129463133825697
team1_ts_conservative_pre,0.0005493623256026742
team1_pair_games_pre,0.0004204547677951495
team1_elo_std_pre,0.0002813321801339393
team2_min_elo_pre,0.0001234045360625136
team1_min_elo_pre,0.0001197661719909558
team2_pair_win_rate_pre,7.834120323243739e-05
team1_games_played_pre,6.518639388702794e-05
h2h_point_diff_pre,6.51510908290792e-05
h2h_games_pre,4.477621940758131e-05
team2_peak_elo_pre,4.0507984063275206e-05
h2h_win_rate_pre,3.25357906353433e-05
team1_recent_win_rate_pre,1.3813904953132543e-05
elo_confidence_gap_side_pre,1.0816364995524015e-05
team2_games_played_pre,7.104173167115001e-06
