feature,importance
ts_cons_diff_pre,0.062164399088690064
ts_mu_diff_pre,0.05235090453756121
elo_expected_prob_pre,0.05228179963436281
team1_avg_point_diff_pre_minus_team2_avg_point_diff_pre,0.04923430830606352
team1_avg_point_diff_pre,0.047759428212738105
model_min,0.04548432972391237
elo_vs_ts_strength_gap,0.0431833943972647
elo_diff_pre,0.03850805748954721
model_mean,0.038494477783766384
Gradient Boosting prob,0.034004846719059
Extra Trees prob,0.03033344219563775
corner_strength_diff_pre,0.027930075165990127
model_max,0.02714929087226644
Random Forest_vs_Hist Gradient Boosting_diff,0.026431713243547
ts_sigma_diff_pre,0.026216684420910522
Hist Gradient Boosting prob,0.026081325648358245
Random Forest_vs_Gradient Boosting_diff,0.02474597504709326
Random Forest_vs_Extra Trees_diff,0.022669188507534205
rating_disagreement_pre,0.02201729344145163
model_range,0.02195674920983696
model_std_x_rating_disagreement,0.021386586398273684
team2_avg_point_diff_pre,0.020430059040773652
Random Forest_vs_Extra Trees_abs_diff,0.020240366002735405
team1_pair_win_rate_pre_minus_team2_pair_win_rate_pre,0.018068518599087067
Random Forest prob,0.01757742268207169
Logistic Regression prob,0.01673608585501143
specialization_gap_pre,0.016091389420477015
Random Forest_vs_Logistic Regression_diff,0.01524611207281134
Random Forest_vs_Gradient Boosting_abs_diff,0.014445120197401249
model_std,0.01387822424648409
Random Forest_vs_Logistic Regression_abs_diff,0.013852118056414934
Random Forest_vs_Hist Gradient Boosting_abs_diff,0.013355776812478268
model_mean_minus_elo,0.012555714388868525
models_above_70,0.01115639703206876
team1_pair_win_rate_pre,0.010124436874978535
models_above_60,0.007688513949159406
models_above_50,0.0070994226914773
team1_recent_win_rate_pre_minus_team2_recent_win_rate_pre,0.006691191995409127
team2_pair_win_rate_pre,0.006369168634342483
team1_recent_win_rate_pre,0.006248652307128846
h2h_win_rate_pre,0.006212245295970918
team2_recent_win_rate_pre,0.0055487938009847896
