model,fold,train_games,test_games,accuracy,brier_score,log_loss,roc_auc
Gradient Boosting,1,45,40,0.625,0.34673733018232267,1.7881524493040772,0.5789473684210527
Random Forest,1,45,40,0.575,0.25807293713506235,0.7141513470696482,0.5764411027568923
Extra Trees,1,45,40,0.55,0.2682576992988707,0.7367795674347908,0.5388471177944861
Hist Gradient Boosting,1,45,40,0.6,0.299071550921897,0.8740365258579998,0.4837092731829573
Logistic Regression,1,45,40,0.55,0.3764689979151855,1.5025154531861535,0.5714285714285714
Gradient Boosting,2,85,40,0.725,0.22365410758464327,0.8138184395953415,0.75
Random Forest,2,85,40,0.6,0.1913601727195494,0.5657281853222196,0.7470238095238094
Extra Trees,2,85,40,0.675,0.19579143301738045,0.5690630791122058,0.7380952380952381
Hist Gradient Boosting,2,85,40,0.625,0.2468587520063709,0.6883652032121155,0.6845238095238096
Logistic Regression,2,85,40,0.7,0.2091253480316769,0.6140429976415296,0.7410714285714286
Gradient Boosting,3,125,40,0.725,0.18213166668955744,0.5263016495948822,0.962121212121212
Random Forest,3,125,40,0.65,0.1871225771494281,0.545850958778473,0.9166666666666666
Extra Trees,3,125,40,0.65,0.18943073014885395,0.5421960654316378,0.898989898989899
Hist Gradient Boosting,3,125,40,0.675,0.1986225195393609,0.5817704362714571,0.851010101010101
Logistic Regression,3,125,40,0.725,0.19024643916415673,0.6162078187570545,0.9191919191919192
Gradient Boosting,4,165,40,0.75,0.22610740648624664,0.8443525134375015,0.755050505050505
Random Forest,4,165,40,0.8,0.14299599779520733,0.45031279760522247,0.8787878787878788
Extra Trees,4,165,40,0.8,0.13862227548551273,0.4242641186046331,0.8636363636363635
Hist Gradient Boosting,4,165,40,0.8,0.1866628790847474,0.6064136040621857,0.8055555555555556
Logistic Regression,4,165,40,0.725,0.19050736363800785,0.6655878283468107,0.8207070707070707
Gradient Boosting,5,205,40,0.7,0.23498048000010857,0.8235217449897604,0.8220551378446115
Random Forest,5,205,40,0.725,0.19367134927794463,0.5776738709989505,0.7969924812030075
Extra Trees,5,205,40,0.725,0.19064437225634806,0.574792400853374,0.837092731829574
Hist Gradient Boosting,5,205,40,0.725,0.21033894592977637,0.7270187943764965,0.8220551378446115
Logistic Regression,5,205,40,0.725,0.21952058934165758,0.7602906521194666,0.837092731829574
