corner,player,games,wins,losses,win_pct,point_diff,avg_point_diff,corner_rank
1,FZ,51,44,7,0.8627450980392157,267,5.235294117647059,1
1,SY,16,12,4,0.75,44,2.75,2
1,CH,43,27,16,0.627906976744186,104,2.4186046511627906,3
1,TT,17,9,8,0.5294117647058824,19,1.1176470588235294,4
1,NS,34,17,17,0.5,3,0.08823529411764706,5
1,AC,53,18,35,0.33962264150943394,-105,-1.9811320754716981,6
1,TD,22,7,15,0.3181818181818182,-58,-2.6363636363636362,7
1,RS,28,6,22,0.21428571428571427,-140,-5.0,8
2,AC,7,5,2,0.7142857142857143,4,0.5714285714285714,1
2,FZ,68,45,23,0.6617647058823529,155,2.2794117647058822,2
2,TT,24,14,10,0.5833333333333334,27,1.125,3
2,CH,55,31,24,0.5636363636363636,63,1.1454545454545455,4
2,SY,41,21,20,0.5121951219512195,36,0.8780487804878049,5
2,NS,41,21,20,0.5121951219512195,18,0.43902439024390244,6
2,TD,18,2,16,0.1111111111111111,-98,-5.444444444444445,7
2,RS,10,1,9,0.1,-71,-7.1,8
3,FZ,36,24,12,0.6666666666666666,94,2.611111111111111,1
3,CH,57,32,25,0.5614035087719298,62,1.087719298245614,2
3,TT,33,18,15,0.5454545454545454,9,0.2727272727272727,3
3,SY,10,5,5,0.5,5,0.5,4
3,NS,31,14,17,0.45161290322580644,-24,-0.7741935483870968,5
3,AC,69,25,44,0.36231884057971014,-121,-1.7536231884057971,6
3,RS,9,2,7,0.2222222222222222,-58,-6.444444444444445,7
3,TD,19,4,15,0.21052631578947367,-101,-5.315789473684211,8
4,FZ,37,30,7,0.8108108108108109,156,4.216216216216216,1
4,SY,45,24,21,0.5333333333333333,26,0.5777777777777777,2
4,CH,37,19,18,0.5135135135135135,19,0.5135135135135135,3
4,NS,46,23,23,0.5,-8,-0.17391304347826086,4
4,RS,20,7,13,0.35,-67,-3.35,5
4,TT,45,13,32,0.28888888888888886,-109,-2.422222222222222,6
4,TD,25,6,19,0.24,-109,-4.36,7
4,AC,9,2,7,0.2222222222222222,-42,-4.666666666666667,8
