game_id,day,date,p1,p2,p3,p4,score1,score2,team1_pre_elo,team2_pre_elo,team1_expected_win_prob,team1_actual_win,team_delta,point_diff
1,1,,TT,NS,SY,CH,21,13,1500.0,1500.0,0.5,1.0,6.904761904761905,8
2,1,,TT,SY,FZ,NS,14,21,1500.0,1501.7261904761904,0.4980126602364095,0.0,-6.640168803152126,-7
3,1,,NS,CH,FZ,TT,27,25,1501.660042200788,1501.7261904761904,0.49992384398415457,1.0,5.477024565887831,2
4,1,,CH,TD,FZ,SY,11,21,1499.6430656652815,1496.9045533823376,0.5031527869936334,0.0,-7.42749352228697,-10
5,1,,CH,SY,TD,NS,21,19,1496.256832988303,1502.8986154378786,0.49235396145662985,1.0,5.559932803094053,2
6,2,,CH,SY,TT,TD,21,7,1499.0367993898499,1495.4500355525852,0.5041293205877302,1.0,8.264511323537828,14
7,2,,RS,TD,SY,TT,13,21,1494.6870155877702,1498.5575160382973,0.4955440396533017,0.0,-6.843227214259881,-8
8,2,,TT,RS,TD,CH,10,21,1496.630764303046,1494.218512100573,0.5027771794209526,0.0,-7.661366543557372,-11
9,2,,TD,SY,CH,TT,16,21,1498.529108958911,1499.5838744229786,0.49878565877052145,0.0,-6.175441489539789,-5
10,2,,TD,TT,RS,SY,20,22,1491.3177798908164,1498.4675497269768,0.4917692668536989,0.0,-5.386044351254798,-2
11,2,,CH,TD,SY,RS,18,21,1496.702684284538,1501.1605719026043,0.4948678474578771,0.0,-5.655632542375738,-3
12,2,,CH,RS,TD,SY,17,21,1502.4218679730016,1495.441388214141,0.5080358823162969,0.0,-6.048046218051154,-4
13,3,,CH,SY,TT,TD,21,15,1508.141714578887,1488.7228611341077,0.5223418938140371,1.0,6.141318508105237,6
14,3,,TD,CH,TT,SY,18,21,1493.8748680133501,1502.9897076996447,0.48950769352333956,0.0,-5.5943736402667374,-3
15,3,,RS,CH,TT,SY,15,21,1499.5345810809354,1505.7868945197781,0.49280225539779404,0.0,-6.336028997971637,-6
16,3,,RS,SY,TT,CH,18,21,1506.9223112108853,1498.3991643898282,0.5098113758188892,0.0,-5.826415723644447,-3
17,3,,RS,TT,CH,SY,18,21,1494.1091017677738,1511.2123738329396,0.480319303703126,0.0,-5.489363470892868,-3
18,3,,RS,TT,CH,TD,15,21,1491.3644200323274,1492.3226187423581,0.4988968347571144,0.0,-6.414387875448613,-6
19,4,,FZ,TT,CH,RS,21,12,1498.6991753220398,1496.3665665819497,0.5026854892327766,1.0,7.1044930109603355,9
20,4,,RS,FZ,TT,SY,14,21,1493.753369652339,1509.1274353026417,0.4823073428062525,0.0,-6.430764570750033,-7
21,4,,RS,SY,CH,TT,17,21,1500.6293831274609,1502.9200633943378,0.4973627813382793,0.0,-5.920985492122373,-4
22,4,,TT,FZ,CH,SY,21,14,1503.7316682005503,1515.3922204271958,0.48657851812034697,1.0,6.845619758395372,7
23,4,,FZ,CH,RS,TT,21,14,1506.7810710397293,1489.868631034202,0.5194613293798992,1.0,6.4071822749346765,7
24,5,,AC,SY,CH,FZ,17,21,1509.2158359978077,1509.9846621771967,0.4991148570747727,0.0,-5.941843536604437,-4
25,5,,AC,CH,FZ,SY,10,21,1504.355370118924,1514.8451280560807,0.487925567833406,0.0,-7.435056271747139,-11
26,5,,AC,CH,FZ,TT,16,21,1500.6378419830503,1510.4987030318362,0.4886492146941811,0.0,-6.049942658118433,-5
27,5,,CH,SY,AC,FZ,20,22,1512.058720452202,1505.6292920582728,0.507401612265176,0.0,-5.557255753380499,-2
28,5,,CH,FZ,AC,SY,19,21,1512.9555839454988,1504.732428564976,0.5094661262731918,0.0,-5.579867097277814,-2
29,5,,AC,FZ,CH,SY,19,21,1508.407919934963,1509.2800925755116,0.4989958754895805,0.0,-5.465192922028739,-2
30,6,,NS,SY,TT,FZ,21,15,1514.3265958657519,1512.1517232944138,0.5025038936498211,1.0,6.396378510216586,6
31,6,,AC,SY,FZ,NS,13,21,1509.121456741169,1512.479557226086,0.4961339209902357,0.0,-6.851373194627064,-8
32,6,,FZ,CH,NS,SY,21,15,1510.2793990679627,1517.52478512086,0.49165921484674796,1.0,6.535810094827525,6
33,6,,FZ,CH,TT,SY,21,9,1513.5473041153764,1510.6519661117163,0.503333331679244,1.0,7.804761930754737,12
34,6,,NS,FZ,AC,TT,21,15,1517.8564343060884,1494.335815142645,0.5270526691854567,1.0,6.080751396186985,6
35,6,,AC,FZ,CH,NS,21,19,1507.6613718527904,1511.2004206640743,0.49592560966887905,1.0,5.52081475124561,2
36,7,,AC,FZ,CH,NS,15,21,1510.4217792284132,1508.4400132884514,0.5022815765194417,0.0,-6.457905983821393,-6
37,7,,FZ,CH,AC,NS,21,14,1518.9698729298007,1499.891919587064,0.5219501880420981,1.0,6.373997492772024,7
38,7,,NS,CH,FZ,TT,21,18,1511.6689662803622,1513.6595564267186,0.49770826444999017,1.0,5.740476977714398,3
39,7,,AC,CH,NS,TT,19,21,1499.4001017571115,1503.171651030894,0.4956579525869555,0.0,-5.428634718809513,-2
40,7,,CH,FZ,AC,TT,21,19,1520.7997129964842,1488.0325480187862,0.5376531720157312,1.0,5.063798592208659,2
41,7,,TT,CH,AC,NS,20,22,1504.431712702899,1496.8740904370545,0.5087001559731398,0.0,-5.571477898753436,-2
42,8,,NS,CH,AC,TT,21,16,1515.8051544172715,1485.500648722682,0.5348328353998513,1.0,5.759212514097079,5
43,8,,AC,FZ,SY,TT,21,16,1504.3536146585357,1501.052814481301,0.5038001134697693,1.0,6.143427166564762,5
44,8,,CH,FZ,TT,SY,21,14,1524.9144027380657,1497.9811008980187,0.5309684182063724,1.0,6.2537544239150336,7
45,8,,FZ,CH,SY,AC,15,21,1528.0412799500232,1494.5291865195068,0.5385058279553483,0.0,-6.923646359425906,-6
46,8,,FZ,SY,CH,AC,21,16,1522.7853866742032,1499.7850797953267,0.5264553526950113,1.0,5.862933728537955,5
47,9,,NS,FZ,CH,SY,15,21,1529.1867081750468,1513.5816996217332,0.5179582020975914,0.0,-6.659462598397602,-6
48,9,,SY,FZ,AC,NS,18,21,1525.7168535384722,1499.7959986861952,0.5298071014856647,0.0,-6.0549383026933095,-3
49,9,,AC,FZ,NS,CH,17,21,1507.3239011981973,1518.5652888339812,0.4870607638125155,0.0,-5.79834242633947,-4
50,9,,NS,SY,FZ,CH,19,21,1519.6385366330549,1523.0657221946367,0.49605438871012025,0.0,-5.432976638253698,-2
51,10,,NS,CH,AC,TT,21,15,1521.4644600471509,1481.3869309864651,0.5460104270355555,1.0,5.837008795257144,6
52,10,,TT,NS,CH,AC,18,21,1501.4609337177221,1501.3904573158939,0.5000811389554166,0.0,-5.715213016633332,-3
53,10,,FZ,AC,CH,NS,21,14,1505.752525199935,1524.3829644447794,0.4785640617307297,1.0,6.952479176923604,7
54,11,,NS,CH,TT,SY,19,21,1520.9067248563176,1493.955700169442,0.5309887440624995,0.0,-5.8155910063988046,-2
55,11,,SY,NS,CH,TT,21,18,1515.214377464353,1499.6480475614067,0.5179137289573139,1.0,5.509557383344983,3
56,11,,NS,FZ,CH,SY,14,21,1525.8109174147405,1517.9972176105853,0.5089948838133276,0.0,-6.786598450844367,-7
57,11,,FZ,SY,NS,TT,23,21,1525.8092056722076,1495.1685578024635,0.5352179343193693,1.0,5.090470243168813,2
58,11,,SY,FZ,CH,TT,21,17,1528.354440793792,1497.317300921653,0.5356721185886483,1.0,5.5277128739446635,4
59,11,,FZ,CH,NS,AC,21,9,1527.1115964300925,1498.4194480987117,0.5329850801382889,1.0,7.338805883541173,12
60,11,,CH,NS,AC,SY,21,18,1515.3443835738399,1503.903497450786,0.513168760747902,1.0,5.5637855914525485,3
61,11,,CH,SY,FZ,NS,22,24,1524.497835867685,1525.1904928056674,0.499202549906182,0.0,-5.46745649897247,-2
62,12,,NS,CH,SY,TD,12,21,1518.126276369566,1501.3460633867135,0.5193093262250281,0.0,-7.418704660357545,-9
63,12,,SY,CH,NS,TD,22,20,1521.764107618199,1497.7082321380808,0.5276670605491027,1.0,5.173170289224113,2
64,12,,CH,NS,AC,TD,21,10,1514.4169240393874,1480.5079733575544,0.5389599848908271,1.0,7.025371658806444,11
65,12,,AC,SY,TD,NS,21,12,1501.1463663530105,1495.1216469934689,0.5069357695826763,1.0,7.043774720247482,9
66,12,,CH,TD,SY,AC,21,15,1500.1950131725914,1504.6682537131342,0.49485017362132433,1.0,6.4947834820115435,6
67,12,,TD,CH,SY,NS,21,19,1503.442404913597,1517.649029947825,0.4836498500199749,1.0,5.655263547400276,2
68,12,,AC,SY,NS,CH,14,21,1500.0070460852785,1517.7923620592314,0.479535337315607,0.0,-6.393804497541426,-7
69,12,,TD,FZ,NS,CH,24,22,1511.8355102936139,1520.9892643080025,0.4894629115604165,1.0,5.5915966829097234,2
70,12,,FZ,TD,NS,SY,18,21,1514.6313086350688,1513.4234990033974,0.5013905386415242,0.0,-5.7301775844745615,-3
71,13,,SY,NS,FZ,CH,13,21,1516.2885877956346,1536.5703235772642,0.47666674902360884,0.0,-6.582540819849837,-8
72,13,,FZ,NS,CH,SY,21,17,1524.9562867899335,1527.9026245829655,0.49660795529919727,1.0,5.992762436914318,4
73,13,,SY,FZ,NS,CH,21,17,1533.2329010102326,1519.626010362666,0.5156603878674828,1.0,5.765947763482347,4
74,13,,CH,SY,AC,FZ,17,21,1524.906243364508,1511.4956999819865,0.5154345532983056,0.0,-6.136125634503638,-4
75,13,,AC,CH,NS,FZ,7,21,1500.2860684545208,1529.4866994170166,0.46643210063194834,0.0,-7.7738683438658045,-14
76,13,,NS,CH,AC,SY,17,21,1515.209005072299,1494.5968822733394,0.5237127811798005,0.0,-6.234675966426196,-4
