player_a,player_b,games,wins,losses,win_pct,point_diff,avg_point_diff
FZ,SY,18,17,1,0.9444444444444444,108,6.0
CH,FZ,42,37,5,0.8809523809523809,259,6.166666666666667
FZ,NS,31,27,4,0.8709677419354839,169,5.451612903225806
FZ,TT,25,17,8,0.68,73,2.92
AC,FZ,34,22,12,0.6470588235294118,58,1.7058823529411764
CH,SY,24,15,9,0.625,35,1.4583333333333333
CH,NS,43,25,18,0.5813953488372093,50,1.1627906976744187
CH,TT,24,12,12,0.5,12,0.5
FZ,TD,16,8,8,0.5,7,0.4375
SY,TD,6,3,3,0.5,-2,-0.3333333333333333
FZ,RS,14,7,7,0.5,-28,-2.0
SY,TT,17,8,9,0.47058823529411764,-1,-0.058823529411764705
NS,TT,12,5,7,0.4166666666666667,-9,-0.75
NS,SY,13,5,8,0.38461538461538464,-14,-1.0769230769230769
CH,RS,11,4,7,0.36363636363636365,-14,-1.2727272727272727
AC,SY,20,7,13,0.35,-28,-1.4
RS,SY,6,2,4,0.3333333333333333,-24,-4.0
AC,CH,21,7,14,0.3333333333333333,-61,-2.9047619047619047
TD,TT,10,3,7,0.3,-44,-4.4
CH,TD,16,4,12,0.25,-44,-2.75
AC,NS,21,5,16,0.23809523809523808,-73,-3.4761904761904763
AC,RS,10,2,8,0.2,-49,-4.9
AC,TT,15,2,13,0.13333333333333333,-51,-3.4
NS,TD,11,1,10,0.09090909090909091,-71,-6.454545454545454
RS,TD,6,0,6,0.0,-47,-7.833333333333333
RS,TT,8,0,8,0.0,-68,-8.5
NS,RS,7,0,7,0.0,-71,-10.142857142857142
AC,TD,9,0,9,0.0,-72,-8.0
